"","State","Week","Deaths","Covid.Feature","TAVG","Average.Population.Density","Population","Year","Covid.19.Deaths","Average.of.Death.from.2015.to2019","Estimated","V1"
"1","Alabama",1,1076,0,46.5,37.38041273,4903185,2019,0,1118.4,1076.76666666664,77.1389952893942
"2","Alabama",2,1090,0,46.5,37.38041273,4903185,2019,0,1141,1076.76666666664,77.1389952893942
"3","Alabama",3,1114,0,46.5,37.38041273,4903185,2019,0,1101.8,1076.76666666664,77.1389952893942
"4","Alabama",4,1063,0,46.5,37.38041273,4903185,2019,0,1094.2,1076.76666666664,77.1389952893942
"5","Alabama",5,1095,0,58,37.38041273,4903185,2019,0,1098.2,1076.76666666664,77.1389952893942
"6","Alabama",6,1092,0,58,37.38041273,4903185,2019,0,1099.8,1076.76666666664,77.1389952893942
"7","Alabama",7,1103,0,58,37.38041273,4903185,2019,0,1087.8,1076.76666666664,77.1389952893942
"8","Alabama",8,1064,0,58,37.38041273,4903185,2019,0,1065.2,1076.76666666664,77.1389952893942
"9","Alabama",9,1050,0,55.3,37.38041273,4903185,2019,0,1065.6,1076.76666666664,77.1389952893942
"10","Alabama",10,1062,0,55.3,37.38041273,4903185,2019,0,1054,1076.76666666664,77.1389952893942
"11","Alabama",11,1090,0,55.3,37.38041273,4903185,2019,0,1051,1076.76666666664,77.1389952893942
"12","Alabama",12,1012,0,55.3,37.38041273,4903185,2019,0,1011.4,1076.76666666664,77.1389952893942
"13","Alabama",13,1079,0,55.3,37.38041273,4903185,2019,0,995.8,1076.76666666664,77.1389952893942
"14","Alabama",14,1044,0,59.4,37.38041273,4903185,2019,0,1014.8,1076.76666666664,77.1389952893942
"15","Alabama",15,1031,0,59.4,37.38041273,4903185,2019,0,983.6,1076.76666666664,77.1389952893942
"16","Alabama",16,954,0,59.4,37.38041273,4903185,2019,0,991.6,1076.76666666664,77.1389952893942
"17","Alabama",17,1042,0,59.4,37.38041273,4903185,2019,0,990.4,1076.76666666664,77.1389952893942
"18","Alabama",18,1031,0,74.4,37.38041273,4903185,2019,0,968,1076.76666666664,77.1389952893942
"19","Alabama",1,1072,0,46.5,37.38041273,4903185,2020,0,1118.4,1089.24444444441,77.1389952893942
"20","Alabama",2,1116,0,46.5,37.38041273,4903185,2020,0,1141,1089.24444444441,77.1389952893942
"21","Alabama",3,1028,0,46.5,37.38041273,4903185,2020,0,1101.8,1089.24444444441,77.1389952893942
"22","Alabama",4,1040,0,46.5,37.38041273,4903185,2020,0,1094.2,1089.24444444441,77.1389952893942
"23","Alabama",5,1016,0,58,37.38041273,4903185,2020,0,1098.2,1089.24444444441,77.1389952893942
"24","Alabama",6,1100,0,58,37.38041273,4903185,2020,0,1099.8,1089.24444444441,77.1389952893942
"25","Alabama",7,1075,0,58,37.38041273,4903185,2020,0,1087.8,1089.24444444441,77.1389952893942
"26","Alabama",8,1064,0,58,37.38041273,4903185,2020,0,1065.2,1089.24444444441,77.1389952893942
"27","Alabama",9,1133,0,58,37.38041273,4903185,2020,0,1065.6,1089.24444444441,77.1389952893942
"28","Alabama",10,1004,1,55.3,37.38041273,4903185,2020,0,1054,1089.24444444441,77.1389952893942
"29","Alabama",11,1021,1,55.3,37.38041273,4903185,2020,0,1051,1089.24444444441,77.1389952893942
"30","Alabama",12,985,1,55.3,37.38041273,4903185,2020,0,1011.4,1089.24444444441,77.1389952893942
"31","Alabama",13,966,1,55.3,37.38041273,4903185,2020,20,995.8,1089.24444444441,77.1389952893942
"32","Alabama",14,1015,1,59.4,37.38041273,4903185,2020,49,1014.8,1089.24444444441,77.1389952893942
"33","Alabama",15,893,1,59.4,37.38041273,4903185,2020,77,983.6,1089.24444444441,77.1389952893942
"34","Alabama",16,619,1,59.4,37.38041273,4903185,2020,81,991.6,1089.24444444441,77.1389952893942
"35","Alabama",17,126,1,59.4,37.38041273,4903185,2020,56,990.4,1089.24444444441,77.1389952893942
"36","Arizona",1,1351,0,42.4,24.74011334,7278717,2019,0,1269.8,1268.58888888881,93.3844489509237
"37","Arizona",2,1350,0,42.4,24.74011334,7278717,2019,0,1289.6,1268.58888888881,93.3844489509237
"38","Arizona",3,1270,0,42.4,24.74011334,7278717,2019,0,1210.4,1268.58888888881,93.3844489509237
"39","Arizona",4,1253,0,42.4,24.74011334,7278717,2019,0,1260.6,1268.58888888881,93.3844489509237
"40","Arizona",5,1217,0,46.8,24.74011334,7278717,2019,0,1235.2,1268.58888888881,93.3844489509237
"41","Arizona",6,1204,0,46.8,24.74011334,7278717,2019,0,1221.6,1268.58888888881,93.3844489509237
"42","Arizona",7,1188,0,46.8,24.74011334,7278717,2019,0,1196.2,1268.58888888881,93.3844489509237
"43","Arizona",8,1313,0,46.8,24.74011334,7278717,2019,0,1191.6,1268.58888888881,93.3844489509237
"44","Arizona",9,1250,0,52.3,24.74011334,7278717,2019,0,1216,1268.58888888881,93.3844489509237
"45","Arizona",10,1252,0,52.3,24.74011334,7278717,2019,0,1231,1268.58888888881,93.3844489509237
"46","Arizona",11,1279,0,52.3,24.74011334,7278717,2019,0,1224.6,1268.58888888881,93.3844489509237
"47","Arizona",12,1192,0,52.3,24.74011334,7278717,2019,0,1184.2,1268.58888888881,93.3844489509237
"48","Arizona",13,1240,0,52.3,24.74011334,7278717,2019,0,1160,1268.58888888881,93.3844489509237
"49","Arizona",14,1254,0,62.9,24.74011334,7278717,2019,0,1174,1268.58888888881,93.3844489509237
"50","Arizona",15,1325,0,62.9,24.74011334,7278717,2019,0,1174,1268.58888888881,93.3844489509237
"51","Arizona",16,1167,0,62.9,24.74011334,7278717,2019,0,1131.4,1268.58888888881,93.3844489509237
"52","Arizona",17,1175,0,62.9,24.74011334,7278717,2019,0,1129.8,1268.58888888881,93.3844489509237
"53","Arizona",18,1160,0,68.5,24.74011334,7278717,2019,0,1106.2,1268.58888888881,93.3844489509237
"54","Arizona",1,1296,0,42.4,24.74011334,7278717,2020,0,1269.8,1302.71111111104,93.3844489509237
"55","Arizona",2,1386,0,42.4,24.74011334,7278717,2020,0,1289.6,1302.71111111104,93.3844489509237
"56","Arizona",3,1309,0,42.4,24.74011334,7278717,2020,0,1210.4,1302.71111111104,93.3844489509237
"57","Arizona",4,1271,0,42.4,24.74011334,7278717,2020,0,1260.6,1302.71111111104,93.3844489509237
"58","Arizona",5,1261,0,46.8,24.74011334,7278717,2020,0,1235.2,1302.71111111104,93.3844489509237
"59","Arizona",6,1258,0,46.8,24.74011334,7278717,2020,0,1221.6,1302.71111111104,93.3844489509237
"60","Arizona",7,1306,0,46.8,24.74011334,7278717,2020,0,1196.2,1302.71111111104,93.3844489509237
"61","Arizona",8,1328,0,46.8,24.74011334,7278717,2020,0,1191.6,1302.71111111104,93.3844489509237
"62","Arizona",9,1343,0,46.8,24.74011334,7278717,2020,0,1216,1302.71111111104,93.3844489509237
"63","Arizona",10,1371,1,52.3,24.74011334,7278717,2020,0,1231,1302.71111111104,93.3844489509237
"64","Arizona",11,1327,1,52.3,24.74011334,7278717,2020,0,1224.6,1302.71111111104,93.3844489509237
"65","Arizona",12,1261,1,52.3,24.74011334,7278717,2020,0,1184.2,1302.71111111104,93.3844489509237
"66","Arizona",13,1293,1,52.3,24.74011334,7278717,2020,28,1160,1302.71111111104,93.3844489509237
"67","Arizona",14,1307,1,62.9,24.74011334,7278717,2020,54,1174,1302.71111111104,93.3844489509237
"68","Arizona",15,1291,1,62.9,24.74011334,7278717,2020,82,1174,1302.71111111104,93.3844489509237
"69","Arizona",16,949,1,62.9,24.74011334,7278717,2020,86,1131.4,1302.71111111104,93.3844489509237
