State,Week,Deaths,Covid,TAVG,PopDensity,Population,Year
Alabama,1,1076,0,46.5,37.38041273,4903185,2019
Alabama,2,1090,0,46.5,37.38041273,4903185,2019
Alabama,3,1114,0,46.5,37.38041273,4903185,2019
Alabama,4,1063,0,46.5,37.38041273,4903185,2019
Alabama,5,1095,0,58,37.38041273,4903185,2019
Alabama,6,1092,0,58,37.38041273,4903185,2019
Alabama,7,1103,0,58,37.38041273,4903185,2019
Alabama,8,1064,0,58,37.38041273,4903185,2019
Alabama,9,1050,0,55.3,37.38041273,4903185,2019
Alabama,10,1062,0,55.3,37.38041273,4903185,2019
Alabama,11,1090,0,55.3,37.38041273,4903185,2019
Alabama,12,1012,0,55.3,37.38041273,4903185,2019
Alabama,13,1079,0,55.3,37.38041273,4903185,2019
Alabama,14,1044,0,59.4,37.38041273,4903185,2019
Alabama,15,1031,0,59.4,37.38041273,4903185,2019
Alabama,16,954,0,59.4,37.38041273,4903185,2019
Alabama,17,1042,0,59.4,37.38041273,4903185,2019
Alabama,18,1031,0,74.4,37.38041273,4903185,2019
Alabama,1,1072,0,46.5,37.38041273,4903185,2020
Alabama,2,1116,0,46.5,37.38041273,4903185,2020
Alabama,3,1028,0,46.5,37.38041273,4903185,2020
Alabama,4,1040,0,46.5,37.38041273,4903185,2020
Alabama,5,1016,0,58,37.38041273,4903185,2020
Alabama,6,1100,0,58,37.38041273,4903185,2020
Alabama,7,1075,0,58,37.38041273,4903185,2020
Alabama,8,1064,0,58,37.38041273,4903185,2020
Alabama,9,1133,0,58,37.38041273,4903185,2020
Alabama,10,1004,1,55.3,37.38041273,4903185,2020
Alabama,11,1021,1,55.3,37.38041273,4903185,2020
Alabama,12,985,1,55.3,37.38041273,4903185,2020
Alabama,13,966,1,55.3,37.38041273,4903185,2020
Alabama,14,1015,1,59.4,37.38041273,4903185,2020
Alabama,15,893,1,59.4,37.38041273,4903185,2020
Alabama,16,619,1,59.4,37.38041273,4903185,2020
Alabama,17,126,1,59.4,37.38041273,4903185,2020
Arizona,1,1351,0,42.4,24.74011334,7278717,2019
Arizona,2,1350,0,42.4,24.74011334,7278717,2019
Arizona,3,1270,0,42.4,24.74011334,7278717,2019
Arizona,4,1253,0,42.4,24.74011334,7278717,2019
Arizona,5,1217,0,46.8,24.74011334,7278717,2019
Arizona,6,1204,0,46.8,24.74011334,7278717,2019
Arizona,7,1188,0,46.8,24.74011334,7278717,2019
Arizona,8,1313,0,46.8,24.74011334,7278717,2019
Arizona,9,1250,0,52.3,24.74011334,7278717,2019
Arizona,10,1252,0,52.3,24.74011334,7278717,2019
Arizona,11,1279,0,52.3,24.74011334,7278717,2019
Arizona,12,1192,0,52.3,24.74011334,7278717,2019
Arizona,13,1240,0,52.3,24.74011334,7278717,2019
Arizona,14,1254,0,62.9,24.74011334,7278717,2019
Arizona,15,1325,0,62.9,24.74011334,7278717,2019
Arizona,16,1167,0,62.9,24.74011334,7278717,2019
Arizona,17,1175,0,62.9,24.74011334,7278717,2019
Arizona,18,1160,0,68.5,24.74011334,7278717,2019
Arizona,1,1296,0,42.4,24.74011334,7278717,2020
Arizona,2,1386,0,42.4,24.74011334,7278717,2020
Arizona,3,1309,0,42.4,24.74011334,7278717,2020
Arizona,4,1271,0,42.4,24.74011334,7278717,2020
Arizona,5,1261,0,46.8,24.74011334,7278717,2020
Arizona,6,1258,0,46.8,24.74011334,7278717,2020
Arizona,7,1306,0,46.8,24.74011334,7278717,2020
Arizona,8,1328,0,46.8,24.74011334,7278717,2020
