Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/15/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,57535,0.97,3705,0,472,4177,
05/15/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,58140,0.97,3703,0,506,4210,
05/15/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,57480,0.98,3734,0,535,4269,
05/15/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,2,57510,0.99,3602,0,553,4157,
05/15/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,7,57784,1,3714,5,625,4341,
05/15/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,32,57373,0.99,3796,16,608,4419,
05/15/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,51,55856,0.98,3781,26,598,4403,
05/15/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,517,55965,0.99,4291,237,518,5083,
05/15/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,2897,59074,1.06,5804,1314,420,7758,
05/15/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,8893,66978,1.2,9208,4260,445,14066,
05/15/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,14287,72459,1.31,10983,6372,450,19018,
05/15/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,14077,68029,1.26,9893,6082,246,17954,
05/15/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,10760,60216,1.12,7851,4607,128,14045,
05/15/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,6464,47070,0.87,5057,2660,43,8889,
05/15/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,2311,26479,0.5,2196,937,11,3581,
05/15/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1018,0.93,55,0,14,69,
05/15/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1105,1,61,0,10,71,
05/15/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1077,0.99,75,0,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1076,0.99,67,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1141,1.1,62,0,14,76,
05/15/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1033,0.99,57,0,13,70,
05/15/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1051,0.97,58,0,,64,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1033,1.01,72,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,20,1023,1,67,,,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49,1098,1.06,64,11,,104,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,77,1068,1.04,82,25,,137,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,81,1019,1.04,87,24,0,144,
05/15/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,56,913,0.91,63,14,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,41,800,0.81,56,10,,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
