SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,Location,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019
10,0,0,0,United States,308745538,308758105,United States,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,598691,2512442,2501531,2608019,2582448,2699826,2703215,2788163,2824382,2835038
20,1,0,0,Northeast Region,55317240,55318443,Northeast Region,55380134,55604223,55775216,55901806,56006011,56034684,56042330,56059240,56046620,55982803,110878,470811,460915,479963,470268,489209,480502,497919,503076,505588
20,2,0,0,Midwest Region,66927001,66929725,Midwest Region,66974416,67157800,67336743,67560379,67745167,67860583,67987540,68126781,68236628,68329004,140862,586660,584671,605165,596898,626084,619187,640407,627911,622854
20,3,0,0,South Region,114555744,114563030,South Region,114866680,116006522,117241208,118364400,119624037,120997341,122351760,123542189,124569433,125580448,228435,963051,960791,1011227,1006109,1052226,1058081,1092315,1116929,1122130
20,4,0,0,West Region,71945553,71946907,West Region,72100436,72788329,73477823,74167130,74925793,75742555,76559681,77257329,77834820,78347268,118516,491920,495154,511664,509173,532307,545445,557522,576466,584466
40,3,6,1,Alabama,4779736,4780125,Alabama,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,11075,48833,48366,50851,49712,51876,51710,53195,53665,53879
40,4,9,2,Alaska,710231,710249,Alaska,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,920,3937,3940,4039,4024,4350,4447,4463,4664,4819
40,4,8,4,Arizona,6392017,6392288,Arizona,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,11505,48174,48754,50612,50236,52846,56032,56333,60127,60523
40,3,7,5,Arkansas,2915918,2916031,Arkansas,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,6979,29455,29772,30994,29967,31318,31134,32340,31743,31322
40,4,9,6,California,37253956,37254519,California,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,57319,238388,239535,247704,244055,253798,260121,265241,277578,282520
40,4,8,8,Colorado,5029196,5029319,Colorado,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,7832,32015,32721,33589,33935,36253,36719,37702,38490,39116
40,1,1,9,Connecticut,3574097,3574147,Connecticut,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,6847,29295,29064,29756,29669,30375,30116,31118,31263,31149
40,3,5,10,Delaware,897934,897937,Delaware,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,1839,7874,7695,8085,8072,8543,8505,9057,9420,9454
40,3,5,11,District of Columbia,601723,601767,District of Columbia,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,1181,4668,4538,4813,4650,4883,4852,5138,5321,5677
